id,name,original_title,original_language,overview,genres,status,popularity,adult,vote_average,vote_count,release_date
1635,Leningrad,Leningrad,en,"When in 1941 Nazi Germany invaded the Soviet Union, their troops quickly besieged Leningrad. Foreign journalists are evacuated but one of them, Kate Davies, is presumed dead and misses the plane. Alone in the city she is helped by Nina Tsvetnova a young and idealist police officer and together they will fight for their own survival and the survival of the people in the besieged Leningrad.","[{""id"":10752,""name"":""War""},{""id"":18,""name"":""Drama""}]",Released,9.31,,5.5,83,2009-01-01
1636,Taxi,Taxi,fr,"In Marseilles (France), skilled pizza delivery boy Daniel who drives a scooter finally has his dreams come true. He gets a taxi license. Caught by the police for a huge speed infraction, he will help Emilien, a loser inspector who can't drive, on the track of German bank robbers, so he doesn't lose his license and his dream job.","[{""id"":28,""name"":""Action""},{""id"":35,""name"":""Comedy""},{""id"":80,""name"":""Crime""},{""id"":12,""name"":""Adventure""}]",Released,24.393,,6.701,2453,1998-04-08
1637,Jesus,Jesus,en,"Jesus, a carpenter living a simple life, discovers his destiny as the biblical Messiah.","[{""id"":12,""name"":""Adventure""},{""id"":18,""name"":""Drama""},{""id"":10770,""name"":""TV Movie""}]",Released,18.805,,6.6,59,1999-12-05
1638,"Taxi 2","Taxi 2",fr,"A cabdriver and a cop race to Paris to rescue a love interest and the Japanese minister of defense from kidnappers.","[{""id"":28,""name"":""Action""},{""id"":35,""name"":""Comedy""}]",Released,13.524,,6.245,1708,2000-03-25
1639,Buddenbrooks,Buddenbrooks,de,"Mid-19th-century, Baltic Sea port city of Lubeck, Germany. Follows the fourth generation of the Buddenbrook mercantile family as Tony and Thomas reach the age of marriage. Fatefully impeded every step of the way, the Buddenbrooks struggle as economic hardship and personal defeats weigh down family relations.","[{""id"":18,""name"":""Drama""}]",Released,4.747,,5.6,25,2008-12-25
1640,"Taxi 3","Taxi 3",fr,"A gang of thieves calling themselves the Santa Claus Gang are wreaking havoc, and the police can't keep up. Police Captain Gilbert is distracted by a Chinese reporter writing a story on his squad, and taxi driver Daniel is in the midst of a relationship crisis. After a string of mistakes in which the thieves outsmart the police time and time again, Daniel and his super-taxi pitch in.","[{""id"":28,""name"":""Action""},{""id"":35,""name"":""Comedy""}]",Released,15.52,,5.737,1488,2003-01-29
1641,"Taxi 4","Taxi 4",fr,"Before being extradited to Africa to stand trial, a notorious Belgian criminal is entrusted to the Marseilles police department for less than 24 hours. But the wily crook convinces bumbling policeman Emilien he's a lowly Belgian embassy employee who got railroaded by the brilliant master criminal.","[{""id"":28,""name"":""Action""},{""id"":35,""name"":""Comedy""}]",Released,12.495,,5.598,1212,2007-02-10
1642,"King Kongs Faust","King Kongs Faust",de,"Berlin Film Fest 1984. The best place for every cinema fan. Everyone wants to be in on the festival, but that may be really difficult, if one has no accreditation. Also Journalist Matthies gets to know the rules of being in or out when he wants to see a screening and is not welcome. Thus he watches an old German silent flick which he is barely interested in. The next day the newspapers are full of reports about a newly discovered German masterpiece from the silent era. It seems that Matthies had luck. He just saw *the* film everybody is talking about now. Also everybody is speculating about its director, who remains unknown. When Matthies talks to Ackrewa, an old befriended projectionist, about the film, the latter seems to recall the name of the director. Matthies decides to research the case. An odyssey into film-history begins and if it is successful Matthies will come up with a top story.","[{""id"":35,""name"":""Comedy""}]",Released,1.743,,0,0,1985-04-26
1643,"Va Banque","Va Banque",de,"Three ordinary, disillusioned citizens decide to rob an armored car.","[{""id"":35,""name"":""Comedy""},{""id"":80,""name"":""Crime""}]",Released,0.647,,0,0,1986-01-28
1644,"Still Life",三峡好人,zh,"A town in Fengjie county is gradually being demolished and flooded to make way for the Three Gorges Dam. A man and woman visit the town to locate their estranged spouses, and become witness to the societal changes.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,13.827,,7.2,146,2006-11-16
